ID,City,State,Population
2739,Los Alamitos,California,"11,636"
2740,Archdale,North Carolina,"11,631"
2741,Elizabethtown,Pennsylvania,"11,629"
2742,Richfield,Wisconsin,"11,622"
2743,Guttenberg,New Jersey,"11,618"
2744,Garden City,Idaho,"11,602"
2745,Magnolia,Arkansas,"11,601"
2746,Lewisburg,Tennessee,"11,600"
2747,Clute,Texas,"11,586"
2748,Snyder,Texas,"11,572"
2749,Grafton,Wisconsin,"11,568"
2750,Newcastle,Washington,"11,567"
2751,Arlington,Tennessee,"11,566"
2752,Byram,Mississippi,"11,545"
2753,Ravenna,Ohio,"11,533"
2754,Tarrytown,New York,"11,532"
2755,Spearfish,South Dakota,"11,531"
2756,Oskaloosa,Iowa,"11,523"
2757,Excelsior Springs,Missouri,"11,522"
2758,Cedarburg,Wisconsin,"11,518"
2759,Robstown,Texas,"11,517"
2760,Broussard,Louisiana,"11,507"
2761,D'Iberville,Mississippi,"11,503"
2763,Yeadon,Pennsylvania,"11,493"
2762,Robinson,Texas,"11,493"
2764,Guthrie,Oklahoma,"11,492"
2765,Somerset,Kentucky,"11,487"
2766,Bellmawr,New Jersey,"11,478"
2767,Sedro-Woolley,Washington,"11,476"
2768,Crossville,Tennessee,"11,455"
2769,Collegedale,Tennessee,"11,437"
2770,Hillsborough,California,"11,431"
2771,Branson,Missouri,"11,430"
2772,Urbana,Ohio,"11,425"
2773,Haddonfield,New Jersey,"11,424"
2774,Mendota,California,"11,418"
2775,Lyndon,Kentucky,"11,407"
2776,Orange City,Florida,"11,403"
2777,Fulton,New York,"11,402"
2778,Lovington,New Mexico,"11,399"
2779,Emmaus,Pennsylvania,"11,394"
2780,White House,Tennessee,"11,388"
2781,Campbellsville,Kentucky,"11,387"
2782,Fredericksburg,Texas,"11,382"
2783,Smyrna,Delaware,"11,371"
2785,Lower Burrell,Pennsylvania,"11,367"
2784,Fenton,Michigan,"11,367"
2786,Plano,Illinois,"11,358"
2787,Ridgefield,New Jersey,"11,357"
2788,Piedmont,California,"11,353"
2789,Woods Cross,Utah,"11,351"
2790,Fort Morgan,Colorado,"11,348"
2791,Ocean City,New Jersey,"11,340"
2792,Gloucester City,New Jersey,"11,339"
2793,Waupun,Wisconsin,"11,333"
2794,Jerome,Idaho,"11,317"
2796,Summit,Illinois,"11,314"
2795,Leon Valley,Texas,"11,314"
2797,Campton Hills,Illinois,"11,310"
2798,Jefferson Hills,Pennsylvania,"11,307"
2799,Ionia,Michigan,"11,300"
2800,Holly Springs,Georgia,"11,281"
2801,Mendota Heights,Minnesota,"11,280"
2802,Union,Missouri,"11,277"
2803,Two Rivers,Wisconsin,"11,261"
2804,Niles,Michigan,"11,257"
2805,Minooka,Illinois,"11,254"
2806,Chino Valley,Arizona,"11,250"
2807,Little Chute,Wisconsin,"11,250"
2809,Merriam,Kansas,"11,245"
2808,Haysville,Kansas,"11,245"
2810,Camp Verde,Arizona,"11,238"
2811,Westwood,New Jersey,"11,235"
2812,Webb City,Missouri,"11,226"
2813,Lantana,Florida,"11,221"
2814,Camden,Arkansas,"11,219"
2815,Grand Rapids,Minnesota,"11,211"
2816,Yorktown,Indiana,"11,210"
2817,Springdale,Ohio,"11,205"
2818,Beachwood,New Jersey,"11,196"
2819,Coshocton,Ohio,"11,189"
2820,Yazoo City,Mississippi,"11,180"
2821,Munhall,Pennsylvania,"11,177"
2822,Raymondville,Texas,"11,173"
2823,Lawrenceburg,Kentucky,"11,169"
2824,Lake Grove,New York,"11,162"
2825,Grandview,Washington,"11,159"
2826,Smithfield,Utah,"11,146"
2827,Lighthouse Point,Florida,"11,143"
2828,Spencer,Iowa,"11,138"
2829,Canyon Lake,California,"11,137"
2830,Pompton Lakes,New Jersey,"11,127"
2831,Grosse Pointe Park,Michigan,"11,126"
2832,Newman,California,"11,123"
2833,Town and Country,Missouri,"11,113"
2834,Mount Kisco,New York,"11,103"
2835,Show Low,Arizona,"11,096"
2836,Burkburnett,Texas,"11,095"
2837,Dobbs Ferry,New York,"11,093"
2838,River Forest,Illinois,"11,088"
2839,Damascus,Oregon,"11,084"
2840,Oneida,New York,"11,080"
2841,Minneola,Florida,"11,078"
2842,Webster,Texas,"11,075"
2843,Galena Park,Texas,"11,067"
2844,Santaquin,Utah,"11,062"
2845,Peru,Indiana,"11,061"
2846,Sierra Madre,California,"11,057"
2847,Sonoma,California,"11,054"
2849,Harrison,Ohio,"11,048"
2848,DeRidder,Louisiana,"11,048"
2850,Summerfield,North Carolina,"11,033"
2851,Ontario,Oregon,"11,027"
2852,Sandy,Oregon,"11,005"
2853,Riverton,Wyoming,"10,997"
2854,Tarboro,North Carolina,"10,994"
2855,Woodbury,New York,"10,986"
2856,Milford,Delaware,"10,979"
2857,Millington,Tennessee,"10,974"
2858,Vidor,Texas,"10,958"
2859,Suffern,New York,"10,948"
2860,Malvern,Arkansas,"10,941"
2861,Lindon,Utah,"10,939"
2862,Little Ferry,New Jersey,"10,925"
2863,Cusseta,Georgia,"10,922"
2864,Grand Haven,Michigan,"10,911"
2865,Totowa,New Jersey,"10,904"
2866,Crestwood,Illinois,"10,891"
2867,Ironton,Ohio,"10,891"
2868,Highland Park,Michigan,"10,883"
2869,West Point,Mississippi,"10,880"
2870,Sturgis,Michigan,"10,879"
2871,Cordele,Georgia,"10,856"
2872,Franklin Lakes,New Jersey,"10,852"
2873,Waynesboro,Pennsylvania,"10,845"
2874,Vermillion,South Dakota,"10,844"
2875,Gonzales,Louisiana,"10,832"
2876,Satellite Beach,Florida,"10,832"
2877,Brooklyn,Ohio,"10,828"
2878,Helena-West Helena,Arkansas,"10,827"
2879,Corning,New York,"10,812"
2880,Fairfield,Alabama,"10,807"
2881,Kings Mountain,North Carolina,"10,797"
2882,Bolivar,Missouri,"10,795"
2883,Muskegon Heights,Michigan,"10,795"
2884,Arkadelphia,Arkansas,"10,793"
2885,Belmont,North Carolina,"10,784"
2886,Burr Ridge,Illinois,"10,780"
2887,Coldwater,Michigan,"10,776"
2888,Storm Lake,Iowa,"10,773"
2889,Martin,Tennessee,"10,768"
2890,Sussex,Wisconsin,"10,765"
2891,Miami Shores,Florida,"10,762"
2892,Sweetwater,Texas,"10,755"
2893,Lincolnton,North Carolina,"10,754"
2894,Taylorville,Illinois,"10,752"
2896,Ogdensburg,New York,"10,743"
2895,East Liverpool,Ohio,"10,743"
2897,Batesville,Arkansas,"10,740"
2898,Lawrenceburg,Tennessee,"10,736"
2899,Farmersville,California,"10,735"
2900,Edgewood,Washington,"10,734"
2901,Van Wert,Ohio,"10,728"
2902,Monroe,Wisconsin,"10,723"
2903,Petal,Mississippi,"10,704"
2905,Vidalia,Georgia,"10,703"
2904,Fate,Texas,"10,703"
2906,Bellefontaine Neighbors,Missouri,"10,702"
2907,Jacinto City,Texas,"10,696"
2908,Marinette,Wisconsin,"10,695"
2911,Worth,Illinois,"10,681"
2909,Placerville,California,"10,681"
2910,Vernal,Utah,"10,681"
2912,Atchison,Kansas,"10,679"
2913,Burlington,Wisconsin,"10,668"
2914,Darby,Pennsylvania,"10,654"
2915,Morro Bay,California,"10,648"
2916,Rockport,Texas,"10,645"
2917,Weddington,North Carolina,"10,642"
2918,Fredonia,New York,"10,639"
2919,Big Lake,Minnesota,"10,638"
2920,Sebring,Florida,"10,638"
2921,Heath,Ohio,"10,625"
2922,Picayune,Mississippi,"10,625"
2923,Lyons,Illinois,"10,621"
2924,Manchester,Tennessee,"10,617"
2925,Lansdowne,Pennsylvania,"10,606"
2926,Fort Madison,Iowa,"10,597"
2928,Norwalk,Iowa,"10,590"
2927,North Logan,Utah,"10,590"
2929,Union City,Tennessee,"10,589"
2930,Montgomery,Ohio,"10,582"
2931,Bastrop,Louisiana,"10,578"
2932,Kennett,Missouri,"10,564"
2933,Bedford Heights,Ohio,"10,555"
2934,St. Albans,West Virginia,"10,553"
2935,West Point,Utah,"10,548"
2936,Somers Point,New Jersey,"10,545"
2937,Forest Acres,South Carolina,"10,542"
2938,Eureka,Missouri,"10,534"
2939,Jackson,Wyoming,"10,529"
2940,Pine Hill,New Jersey,"10,524"
2941,Roscoe,Illinois,"10,521"
2942,Farmington,Michigan,"10,514"
2943,Hillsdale,New Jersey,"10,510"
2944,Greencastle,Indiana,"10,508"
2945,Exeter,California,"10,506"
2946,Doraville,Georgia,"10,501"
2947,Ingleside,Texas,"10,488"
2948,Jefferson,Georgia,"10,486"
2949,Beverly Hills,Michigan,"10,470"
2950,Massena,New York,"10,468"
2951,Burley,Idaho,"10,464"
2952,Vernon,Texas,"10,461"
2953,Cadillac,Michigan,"10,460"
2956,Vienna,West Virginia,"10,459"
2955,Grantsville,Utah,"10,459"
2954,Fox Lake,Illinois,"10,459"
2957,Bound Brook,New Jersey,"10,455"
2958,Palatka,Florida,"10,452"
2959,Lincoln Park,New Jersey,"10,442"
2960,Sauk Village,Illinois,"10,438"
2961,Big Rapids,Michigan,"10,437"
2962,Cambridge,Ohio,"10,433"
2963,Keokuk,Iowa,"10,431"
2964,Manville,New Jersey,"10,430"
2965,Richmond Heights,Ohio,"10,421"
2966,Warr Acres,Oklahoma,"10,420"
2967,Wyomissing,Pennsylvania,"10,420"
2968,Berlin,New Hampshire,"10,413"
2969,Essex Junction,Vermont,"10,412"
2970,Vermilion,Ohio,"10,409"
2971,Poulsbo,Washington,"10,400"
2972,Sedona,Arizona,"10,397"
2973,Newport,Oregon,"10,393"
2974,Pleasanton,Texas,"10,393"
2975,Cedar Hills,Utah,"10,374"
2976,Newberry,South Carolina,"10,372"
2977,Canandaigua,New York,"10,369"
2978,Portage,Wisconsin,"10,365"
2979,Alpine,Utah,"10,361"
2980,New Albany,Ohio,"10,360"
2981,Columbia,Pennsylvania,"10,359"
2982,Cape Canaveral,Florida,"10,352"
2983,Mount Airy,North Carolina,"10,347"
2984,West Haverstraw,New York,"10,345"
2985,Little Canada,Minnesota,"10,344"
2986,Denham Springs,Louisiana,"10,335"
2987,Arden Hills,Minnesota,"10,324"
2988,Celina,Ohio,"10,324"
2989,Melvindale,Michigan,"10,322"
2990,North Branch,Minnesota,"10,317"
2992,Ventnor City,New Jersey,"10,317"
2991,Reading,Ohio,"10,317"
2993,Moncks Corner,South Carolina,"10,315"
2994,Barrington,Illinois,"10,312"
2995,Covington,Louisiana,"10,310"
2996,Waterloo,Illinois,"10,309"
2997,Bellmead,Texas,"10,306"
2998,Struthers,Ohio,"10,293"
2999,Castle Pines,Colorado,"10,284"
3000,Eunice,Louisiana,"10,279"
3001,Columbia,Illinois,"10,273"
3002,Roma,Texas,"10,265"
3003,Oregon,Wisconsin,"10,264"
3004,Avon Park,Florida,"10,259"
3005,Pella,Iowa,"10,255"
3006,Wabash,Indiana,"10,253"
3007,Wood River,Illinois,"10,251"
3008,Braselton,Georgia,"10,234"
3009,Anderson,California,"10,232"
3010,Kinnelon,New Jersey,"10,219"
3011,Great Neck,New York,"10,218"
3012,Fairfield,Iowa,"10,206"
3013,Sleepy Hollow,New York,"10,198"
3014,Paris,Tennessee,"10,192"
3015,Bluefield,West Virginia,"10,191"
3017,Nanticoke,Pennsylvania,"10,189"
3016,East Stroudsburg,Pennsylvania,"10,189"
3018,Capitola,California,"10,180"
3019,Pleasant Grove,Alabama,"10,177"
3020,Monmouth,Oregon,"10,174"
3021,Jesup,Georgia,"10,170"
3022,Lancaster,New York,"10,165"
3023,Shasta Lake,California,"10,162"
3024,London,Ohio,"10,158"
3025,Elon,North Carolina,"10,147"
3026,Galion,Ohio,"10,143"
3027,Berwick,Pennsylvania,"10,138"
3028,Española,New Mexico,"10,138"
3029,River Grove,Illinois,"10,134"
3030,Bonham,Texas,"10,123"
3031,Alpena,Michigan,"10,122"
3032,Watervliet,New York,"10,120"
3033,Jennings,Louisiana,"10,118"
3034,Fairmont,Minnesota,"10,115"
3035,Bel Air,Maryland,"10,109"
3036,Cottage Grove,Oregon,"10,109"
3037,Clinton,Tennessee,"10,106"
3038,Fife,Washington,"10,103"
3040,Waverly,Iowa,"10,093"
3039,Troy,Illinois,"10,093"
3041,Selma,Texas,"10,088"
3042,Pearsall,Texas,"10,064"
3043,Harrisonville,Missouri,"10,042"
3044,Waldwick,New Jersey,"10,026"
3045,Atmore,Alabama,"10,022"
3046,Oil City,Pennsylvania,"10,017"
3047,Lexington,Nebraska,"10,004"
3048,Silverton,Oregon,"10,002"
3049,Mayfield,Kentucky,"9,999"
3050,Bluffton,Indiana,"9,997"
3051,Glenwood Springs,Colorado,"9,997"
3052,Shelton,Washington,"9,980"
3053,Sumner,Washington,"9,969"
3054,Woodbury,New Jersey,"9,962"
3055,Waynesville,North Carolina,"9,958"
3056,Plymouth,Indiana,"9,949"
3057,Carroll,Iowa,"9,947"
3058,Tega Cay,South Carolina,"9,946"
3059,Uniontown,Pennsylvania,"9,942"
3061,Rincon,Georgia,"9,935"
3060,Le Mars,Iowa,"9,935"
3062,Prineville,Oregon,"9,928"
3063,Brandon,South Dakota,"9,923"
3064,Benton Harbor,Michigan,"9,919"
3066,Tipp City,Ohio,"9,918"
3065,Alamosa,Colorado,"9,918"
3067,Snohomish,Washington,"9,915"
3068,Silver City,New Mexico,"9,907"
3069,Kendallville,Indiana,"9,906"
3070,Parsons,Kansas,"9,906"
3071,Alachua,Florida,"9,893"
3072,Peru,Illinois,"9,893"
3073,Hope,Arkansas,"9,892"
3074,Alcoa,Tennessee,"9,874"
3075,Dunn,North Carolina,"9,873"
3076,Burlington,New Jersey,"9,866"
3077,New Hyde Park,New York,"9,863"
3078,Northampton,Pennsylvania,"9,863"
3079,Warrenton,Virginia,"9,861"
3080,Corte Madera,California,"9,858"
3081,East Rutherford,New Jersey,"9,856"
3082,Elkhorn,Wisconsin,"9,853"
3083,Havre,Montana,"9,846"
3084,Paris,Kentucky,"9,840"
3086,Milton,Florida,"9,839"
3085,Fort Oglethorpe,Georgia,"9,839"
3087,Cody,Wyoming,"9,836"
3088,Highland,Illinois,"9,830"
3089,Flat Rock,Michigan,"9,828"
3090,Keansburg,New Jersey,"9,826"
3091,Wapakoneta,Ohio,"9,816"
3092,Russellville,Alabama,"9,815"
3093,Astoria,Oregon,"9,802"
3094,East Rockaway,New York,"9,802"
3095,Washington,North Carolina,"9,801"
3096,Cedartown,Georgia,"9,799"
3097,Kearney,Missouri,"9,790"
3098,North Bend,Oregon,"9,789"
3099,Cameron,Missouri,"9,788"
3100,Maywood,New Jersey,"9,785"
3101,Brownsville,Tennessee,"9,782"
3102,Brownfield,Texas,"9,779"
3103,Baker City,Oregon,"9,770"
3104,Granbury,Texas,"9,755"
3105,Winslow,Arizona,"9,754"
3106,Monticello,Arkansas,"9,753"
3107,Pleasant Hill,Iowa,"9,750"
3108,Wasilla,Alaska,"9,748"
3109,Marysville,Michigan,"9,735"
3110,Pleasant View,Utah,"9,716"
3111,Chillicothe,Missouri,"9,714"
3112,Boaz,Alabama,"9,710"
3113,Potsdam,New York,"9,708"
3114,Sparta,Wisconsin,"9,695"
3115,DeForest,Wisconsin,"9,690"
3116,Danville,Indiana,"9,676"
3117,Coweta,Oklahoma,"9,673"
3118,St. Pete Beach,Florida,"9,671"
3119,Independence,Oregon,"9,666"
3120,Pecos,Texas,"9,666"
3121,Rifle,Colorado,"9,665"
3122,Mooresville,Indiana,"9,660"
3123,Indianola,Mississippi,"9,655"
3124,Newcastle,Oklahoma,"9,652"
3125,Winfield,Illinois,"9,637"
3126,Holmen,Wisconsin,"9,628"
3127,Middlesborough,Kentucky,"9,626"
3128,Bladensburg,Maryland,"9,608"
3129,Safford,Arizona,"9,604"
3130,Hamburg,New York,"9,590"
3131,Clay,Alabama,"9,587"
3132,Orange Cove,California,"9,586"
3133,Rye Brook,New York,"9,575"
3134,Sugar Grove,Illinois,"9,573"
3135,Sunbury,Pennsylvania,"9,571"
3136,Cairo,Georgia,"9,570"
3137,Harrison,Wisconsin,"9,561"
3138,Hackettstown,New Jersey,"9,549"
3139,Lock Haven,Pennsylvania,"9,549"
3140,Coffeyville,Kansas,"9,539"
3141,Reedsburg,Wisconsin,"9,537"
3142,Bristol,Pennsylvania,"9,534"
3143,Rainbow City,Alabama,"9,531"
3144,Howell,Michigan,"9,527"
3145,Port Townsend,Washington,"9,527"
3147,Decatur,Indiana,"9,524"
3146,Clarksville,Arkansas,"9,524"
3148,Pryor Creek,Oklahoma,"9,520"
3149,Lowell,Indiana,"9,519"
3150,Mapleton,Utah,"9,512"
3151,DuPont,Washington,"9,497"
3153,Springfield,Florida,"9,494"
3152,Amityville,New York,"9,494"
3154,Willoughby Hills,Ohio,"9,482"
3155,Girard,Ohio,"9,477"
3156,Purcellville,Virginia,"9,469"
3157,St. Francis,Wisconsin,"9,466"
3158,Lamesa,Texas,"9,461"
3159,Steger,Illinois,"9,456"
3160,Smithville,Missouri,"9,455"
3161,Hermantown,Minnesota,"9,451"
3162,Winterville,North Carolina,"9,447"
3163,Mission,Kansas,"9,443"
3164,The Village,Oklahoma,"9,429"
3165,Brentwood,Pennsylvania,"9,422"
3166,Sweet Home,Oregon,"9,418"
3168,Tomah,Wisconsin,"9,405"
3167,Princeton,Texas,"9,405"
3169,Morehead City,North Carolina,"9,402"
3170,Mound,Minnesota,"9,394"
3171,Clinton,Oklahoma,"9,393"
3172,Valley,Alabama,"9,377"
3173,Mount Airy,Maryland,"9,374"
3174,Taft,California,"9,373"
3175,Flossmoor,Illinois,"9,362"
3176,Greenwood,Arkansas,"9,362"
3177,Harahan,Louisiana,"9,360"
3178,Louisville,Ohio,"9,356"
3179,Box Elder,South Dakota,"9,348"
3180,Alexandria,Kentucky,"9,340"
3181,Rensselaer,New York,"9,340"
3182,Anthony,New Mexico,"9,330"
3183,Bethalto,Illinois,"9,328"
3184,Elgin,Texas,"9,323"
3185,North College Hill,Ohio,"9,322"
3186,Augusta,Kansas,"9,321"
3187,Bay Minette,Alabama,"9,312"
3188,Grants,New Mexico,"9,298"
3189,Fairview,Oregon,"9,290"
3190,Economy,Pennsylvania,"9,288"
3191,Hondo,Texas,"9,276"
3192,Versailles,Kentucky,"9,270"
3193,Jeannette,Pennsylvania,"9,245"
3194,Warren,Pennsylvania,"9,244"
3195,La Plata,Maryland,"9,239"
3196,Middletown,Pennsylvania,"9,229"
3197,Rochelle,Illinois,"9,227"
3198,Merrill,Wisconsin,"9,225"
3199,Ellisville,Missouri,"9,224"
3200,Hartland,Wisconsin,"9,212"
3201,Lititz,Pennsylvania,"9,210"
3202,Monmouth,Illinois,"9,210"
3203,Liberty Lake,Washington,"9,209"
3204,LaSalle,Illinois,"9,203"
3205,Bernalillo,New Mexico,"9,202"
3206,Washington Terrace,Utah,"9,198"
3207,Leonia,New Jersey,"9,195"
3208,Ecorse,Michigan,"9,181"
3209,Tiburon,California,"9,176"
3210,Liberty,Texas,"9,175"
3211,Detroit Lakes,Minnesota,"9,165"
3212,Lynwood,Illinois,"9,159"
3213,Grosse Pointe Farms,Michigan,"9,155"
3215,Saline,Michigan,"9,151"
3214,Grinnell,Iowa,"9,151"
3217,Highland Park,Texas,"9,149"
3216,Alma,Michigan,"9,149"
3218,College Place,Washington,"9,142"
3220,Molalla,Oregon,"9,139"
3219,Chanute,Kansas,"9,139"
3222,Lancaster,South Carolina,"9,134"
3221,Groton,Connecticut,"9,134"
3223,Harvard,Illinois,"9,119"
3224,Gig Harbor,Washington,"9,110"
3225,Brewer,Maine,"9,107"
3226,Lenoir City,Tennessee,"9,106"
3227,Presque Isle,Maine,"9,106"
3228,Aliquippa,Pennsylvania,"9,102"
3229,Atoka,Tennessee,"9,095"
3230,Commerce,Texas,"9,091"
3231,Anaconda,Montana,"9,085"
3232,Fultondale,Alabama,"9,084"
3233,Laurens,South Carolina,"9,080"
3234,Rockingham,North Carolina,"9,080"
3235,Plymouth,Michigan,"9,077"
3236,Rawlins,Wyoming,"9,075"
3237,Waseca,Minnesota,"9,074"
3238,Charlotte,Michigan,"9,055"
3239,Shawano,Wisconsin,"9,054"
3240,Marianna,Florida,"9,052"
3241,Madeira,Ohio,"9,049"
3242,Eagle Point,Oregon,"9,046"
3243,Brigantine,New Jersey,"9,042"
3244,Shelby,Ohio,"9,030"
3245,Monett,Missouri,"9,027"
3246,Sheffield,Alabama,"9,025"
3247,Georgetown,South Carolina,"9,024"
3250,St. Anthony,Minnesota,"9,007"
3249,Mechanicsburg,Pennsylvania,"9,007"
3248,Cortez,Colorado,"9,007"
3251,Sheffield Lake,Ohio,"9,004"
3252,San Elizario,Texas,"9,000"
3253,Oakwood,Ohio,"8,999"
3254,Rock Falls,Illinois,"8,993"
3255,Berkeley,Missouri,"8,981"
3256,Chatham,New Jersey,"8,977"
3257,Toppenish,Washington,"8,973"
3258,Manteno,Illinois,"8,969"
3259,Andalusia,Alabama,"8,968"
3260,Thomaston,Georgia,"8,962"
3261,Olney,Illinois,"8,955"
3262,Craig,Colorado,"8,952"
3263,Stuttgart,Arkansas,"8,945"
3264,Manvel,Texas,"8,939"
3265,Newark,New York,"8,938"
3266,Fitzgerald,Georgia,"8,927"
3267,Covington,Tennessee,"8,924"
3268,Lowell,Arkansas,"8,922"
3269,Victoria,Minnesota,"8,917"
3270,Yelm,Washington,"8,915"
3271,Delta,Colorado,"8,914"
3272,Glenwood,Illinois,"8,911"
3274,Sturgeon Bay,Wisconsin,"8,910"
3273,Marathon,Florida,"8,910"
3275,Garden City,Georgia,"8,900"
3276,Park Ridge,New Jersey,"8,900"
3277,New Richmond,Wisconsin,"8,897"
3278,Glencoe,Illinois,"8,894"
3279,Olmsted Falls,Ohio,"8,890"
3280,Canonsburg,Pennsylvania,"8,878"
3281,Pitman,New Jersey,"8,874"
3282,Perryton,Texas,"8,870"
3283,Maysville,Kentucky,"8,866"
3285,Waterford,California,"8,861"
3284,Columbia City,Indiana,"8,861"
3287,Poteau,Oklahoma,"8,859"
3286,Flowood,Mississippi,"8,859"
3288,Farmingdale,New York,"8,857"
3289,Airmont,New York,"8,856"
3290,Hillview,Kentucky,"8,851"
3291,Matawan,New Jersey,"8,848"
3293,Wagoner,Oklahoma,"8,846"
3292,Clanton,Alabama,"8,846"
3294,Clinton,Missouri,"8,844"
3295,Pulaski,Virginia,"8,837"
3296,Woodway,Texas,"8,835"
3297,Oxford,North Carolina,"8,830"
3298,Sitka city and,Alaska,"8,830"
3299,Franklin,Kentucky,"8,823"
3300,Lake Elmo,Minnesota,"8,815"
3301,Harrisburg,Illinois,"8,811"
3302,Cloverdale,California,"8,801"
3303,Florence,Oregon,"8,800"
3304,Live Oak,California,"8,800"
3305,Independence,Kansas,"8,799"
3306,Quakertown,Pennsylvania,"8,798"
3307,Thief River Falls,Minnesota,"8,796"
3308,Graham,Texas,"8,792"
3309,New Albany,Mississippi,"8,786"
3310,Wharton,Texas,"8,785"
3312,Orange Park,Florida,"8,783"
3311,Lake Villa,Illinois,"8,783"
3313,South Amboy,New Jersey,"8,778"
3314,Cresskill,New Jersey,"8,777"
3315,Pike Road,Alabama,"8,777"
3316,Swissvale,Pennsylvania,"8,769"
3317,Burlington,Washington,"8,768"
3319,Sellersburg,Indiana,"8,765"
3318,Collingdale,Pennsylvania,"8,765"
3320,Helotes,Texas,"8,758"
3321,Carencro,Louisiana,"8,752"
3323,Lapeer,Michigan,"8,748"
3324,Riverside,Illinois,"8,748"
3322,Edgewood,Kentucky,"8,748"
3325,Booneville,Mississippi,"8,744"
3326,Moundsville,West Virginia,"8,741"
3327,Scott,Louisiana,"8,733"
3328,Itasca,Illinois,"8,728"
3329,Audubon,New Jersey,"8,727"
3331,Lincoln City,Oregon,"8,722"
3332,Tuskegee,Alabama,"8,722"
3330,La Grange,Kentucky,"8,722"
3334,Riverdale,Utah,"8,710"
3333,Barre,Vermont,"8,710"
3335,Closter,New Jersey,"8,705"
3336,East Grand Forks,Minnesota,"8,699"
3337,Palm Beach,Florida,"8,690"
3338,Little Falls,Minnesota,"8,689"
3339,Cambridge,Minnesota,"8,677"
3340,Frostburg,Maryland,"8,676"
3341,Clinton,North Carolina,"8,674"
3342,Park Hills,Missouri,"8,655"
3343,Clarendon Hills,Illinois,"8,653"
3344,Miles City,Montana,"8,647"
3345,Fair Oaks Ranch,Texas,"8,645"
3346,Fort Valley,Georgia,"8,643"
3347,Rio Vista,California,"8,641"
3348,Kirby,Texas,"8,640"
3349,Princeton,Indiana,"8,632"
3350,Calimesa,California,"8,616"
3351,Clayton,New Jersey,"8,614"
3352,Socorro,New Mexico,"8,612"
3353,Sallisaw,Oklahoma,"8,602"
3356,Wood-Ridge,New Jersey,"8,600"
3355,Southside,Alabama,"8,600"
3354,Monroe,New York,"8,600"
3357,Hobart,Wisconsin,"8,599"
3358,Wesley Chapel,North Carolina,"8,596"
3359,Lake Park,Florida,"8,595"
3360,Pineville,North Carolina,"8,593"
3361,Angola,Indiana,"8,591"
3363,Indian Harbour Beach,Florida,"8,586"
3362,Corrales,New Mexico,"8,586"
3364,Ladue,Missouri,"8,583"
3365,Beaver Falls,Pennsylvania,"8,581"
3366,Signal Mountain,Tennessee,"8,573"
3367,Port Jervis,New York,"8,572"
3369,Winchester,Tennessee,"8,562"
3368,Chester,Illinois,"8,562"
3370,Morrisville,Pennsylvania,"8,552"
3371,Harwood Heights,Illinois,"8,549"
3372,Oak Grove,Minnesota,"8,545"
3373,Malverne,New York,"8,544"
3374,Oak Hill,West Virginia,"8,544"
3375,Willowbrook,Illinois,"8,543"
3376,Des Peres,Missouri,"8,540"
3377,Westwego,Louisiana,"8,533"
3378,Fairview,Tennessee,"8,529"
3379,Plymouth,Wisconsin,"8,529"
3380,Cuero,Texas,"8,524"
3381,Virginia,Minnesota,"8,523"
3382,Elsmere,Kentucky,"8,520"
3383,Bastrop,Texas,"8,519"
3384,Wyoming,Ohio,"8,517"
3385,Wellington,Colorado,"8,516"
3386,Fort Stockton,Texas,"8,515"
3387,Fountain Inn,South Carolina,"8,513"
3388,Bogota,New Jersey,"8,507"
3389,Montvale,New Jersey,"8,506"
3390,Orrville,Ohio,"8,505"
3391,Los Altos Hills,California,"8,501"
3392,Carbondale,Pennsylvania,"8,498"
3393,Sunset Hills,Missouri,"8,497"
3394,North Haledon,New Jersey,"8,491"
3395,Perkasie,Pennsylvania,"8,479"
3396,Fallon,Nevada,"8,470"
3397,Hooper,Utah,"8,466"
3398,Blanchard,Oklahoma,"8,463"
3399,Boonville,Missouri,"8,462"
3400,Gonzales,California,"8,460"
3401,Napoleon,Ohio,"8,457"
3402,Perryville,Missouri,"8,456"
3403,Mount Rainier,Maryland,"8,455"
3404,Clinton,South Carolina,"8,453"
3405,Westlake Village,California,"8,452"
3406,Franklin,New Hampshire,"8,447"
3408,Siler City,North Carolina,"8,444"
3407,Pleasant Hill,Missouri,"8,444"
3409,Heath,Texas,"8,440"
3410,Guntersville,Alabama,"8,437"
3411,Smithfield,Virginia,"8,435"
3412,Bryan,Ohio,"8,434"
3413,Hoquiam,Washington,"8,434"
3414,Tuscumbia,Alabama,"8,434"
3415,Spotswood,New Jersey,"8,429"
3417,Tremonton,Utah,"8,426"
3416,Greenville,Michigan,"8,426"
3418,Manor,Texas,"8,423"
3419,Melissa,Texas,"8,423"
3420,Harrodsburg,Kentucky,"8,419"
3421,Paris,Illinois,"8,418"
3422,Elwood,Indiana,"8,416"
3423,Toccoa,Georgia,"8,412"
3424,Northfield,New Jersey,"8,410"
3425,Breaux Bridge,Louisiana,"8,407"
3426,Rice Lake,Wisconsin,"8,404"
3427,Alliance,Nebraska,"8,403"
3428,Highland Heights,Ohio,"8,397"
3430,Mason,Michigan,"8,395"
3429,Haledon,New Jersey,"8,395"
3431,Aransas Pass,Texas,"8,393"
3432,Mount Pleasant,Iowa,"8,392"
3433,Richmond Heights,Missouri,"8,389"
3434,Delavan,Wisconsin,"8,385"
3435,Black Mountain,North Carolina,"8,384"
